bus_id,reviews,LoadDTTM,pid
fVbUVAiLiGgLA_nxBFxyww,"[{'id': 'ZZthTufCTdxRV1uUdqvvTQ', 'url': 'https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&hrid=ZZthTufCTdxRV1uUdqvvTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=VYGm0sk0aHdKKGyXs5PMrA', 'text': 'BEST RESTAURANT IVE EVER BEEN TO. their edamame dumplings are to DIE FOR they melt in your mouth; i had to order a second round before we even finished the...', 'rating': 5, 'time_created': '2021-05-22 15:16:06', 'user': {'id': 'YrrKrV_kih75RJ7V6uSkhQ', 'profile_url': 'https://www.yelp.com/user_details?userid=YrrKrV_kih75RJ7V6uSkhQ', 'image_url': None, 'name': 'Kyra M.'}}, {'id': 'Cxtkbrv8nOh83haF4gf7qA', 'url': 'https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&hrid=Cxtkbrv8nOh83haF4gf7qA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=VYGm0sk0aHdKKGyXs5PMrA', 'text': ""I was really looking forward to trying on this restaurant and I'm so glad we did! They don't offer reservations so it's first come first serve. We got there..."", 'rating': 5, 'time_created': '2021-06-07 14:14:56', 'user': {'id': 'X45MXqYjC8mAEgCqATLNxw', 'profile_url': 'https://www.yelp.com/user_details?userid=X45MXqYjC8mAEgCqATLNxw', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/s5c4j1vYH8B4KI2X48_5TQ/o.jpg', 'name': 'Dominique P.'}}, {'id': '53pYwAv7TAI-qH9JORrgpA', 'url': 'https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&hrid=53pYwAv7TAI-qH9JORrgpA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=VYGm0sk0aHdKKGyXs5PMrA', 'text': ""5/5 food. 5/5 service. 5/5 ambience. I don't typically gravitate towards Asian fusion in the East Village considering how many great authentic Asian spots..."", 'rating': 5, 'time_created': '2021-05-17 14:52:46', 'user': {'id': 'VpfdpNvz4GxaJ3-fHTMaAw', 'profile_url': 'https://www.yelp.com/user_details?userid=VpfdpNvz4GxaJ3-fHTMaAw', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/13eqp2rd2qzpRr0ceSJ87w/o.jpg', 'name': 'Peggy W.'}}]",20210619-0721,1
J3NT61-AH5d5Gu5tFJhYSw,"[{'id': 'T_i09tLyNXfwljzLdyj90A', 'url': 'https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&hrid=T_i09tLyNXfwljzLdyj90A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=VYGm0sk0aHdKKGyXs5PMrA', 'text': 'This is more a criticism of Yelp than The Cabin as this place was listed at the top of Restaurants with Live Music.   There is no live music here at all -...', 'rating': 3, 'time_created': '2021-05-30 18:09:00', 'user': {'id': 'sBttFLa8_0sR92fQeMvxKw', 'profile_url': 'https://www.yelp.com/user_details?userid=sBttFLa8_0sR92fQeMvxKw', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/vrC1d_ClcnkMqcZ7Tzsqmg/o.jpg', 'name': 'Robert K.'}}, {'id': 'aK8je74IIiDogQNnC1DPJw', 'url': 'https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&hrid=aK8je74IIiDogQNnC1DPJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=VYGm0sk0aHdKKGyXs5PMrA', 'text': 'I loved the decor and ambiance of this place. The food was amazing, I had the truffle fries and salmon were top notch. I loved the owner took time to check...', 'rating': 5, 'time_created': '2021-05-18 16:35:51', 'user': {'id': 'dvpG9E9ay_Oh373qju5hxg', 'profile_url': 'https://www.yelp.com/user_details?userid=dvpG9E9ay_Oh373qju5hxg', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/bS69Z6q7l_kI7ez85-T97A/o.jpg', 'name': 'Julie P.'}}, {'id': 'U4si8OdqzfnoPlfq0P9uQA', 'url': 'https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=VYGm0sk0aHdKKGyXs5PMrA&hrid=U4si8OdqzfnoPlfq0P9uQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=VYGm0sk0aHdKKGyXs5PMrA', 'text': 'Came here for brunch and food snd drinks were very good\nAmbiance was great as they had spots for selfies or group\nPhotos \nOutside was closed due to rain but...', 'rating': 4, 'time_created': '2021-05-18 14:20:28', 'user': {'id': 'CSfrnKSJo80kEHfzGhXHLw', 'profile_url': 'https://www.yelp.com/user_details?userid=CSfrnKSJo80kEHfzGhXHLw', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/XymT1BdYZp3O48j2n9n5Kw/o.jpg', 'name': 'Richard L.'}}]",20210619-0721,1
